distance_type,walk_window,num_of_steps,num_of_walks,embedding,embedding_vector_size,embedding_window_size,embedding_min_count,embedding_noise_words,proximity_percentage
polygon_distance,10,5,10,skip_gram,50,20,5,5,0.29495114006514656
polygon_distance,10,5,10,skip_gram,50,20,10,5,0.2962846091205212
polygon_distance,10,5,10,skip_gram,100,20,5,5,0.38751017915309444
polygon_distance,10,5,10,skip_gram,100,20,10,5,0.3871233713355049
polygon_distance,10,5,10,skip_gram,150,20,5,5,0.41295297231270356
polygon_distance,10,5,10,skip_gram,150,20,10,5,0.4140574104234528
polygon_distance,10,10,5,skip_gram,50,20,5,5,0.2859985749185668
polygon_distance,10,10,5,skip_gram,50,20,10,5,0.2840696254071661
polygon_distance,10,10,5,skip_gram,100,20,5,5,0.2956891286644951
polygon_distance,10,10,5,skip_gram,100,20,10,5,0.29732288273615637
polygon_distance,10,10,5,skip_gram,150,20,5,5,0.29224857491856676
polygon_distance,10,10,5,skip_gram,150,20,10,5,0.2913222719869707
polygon_distance,10,15,3,skip_gram,50,20,5,5,0.2658845684039088
polygon_distance,10,15,3,skip_gram,50,20,10,5,0.26400794054769416
polygon_distance,10,15,3,skip_gram,100,20,5,5,0.2651923859934853
polygon_distance,10,15,3,skip_gram,100,20,10,5,0.26824289931792733
polygon_distance,10,15,3,skip_gram,150,20,5,5,0.25566978827361564
polygon_distance,10,15,3,skip_gram,150,20,10,5,0.2562862669245648
